变化名称,变化阶段,要素类型,变化置信度,发现变化时间,是否需要测绘,3613规则,要素地址,线索信息
原客运汽车站,竣工,配套设施,高,2018/2/22 10:35,是,三个月更新,嘉兴市海宁市,新闻
杨庙港航管理检查站业务用房,竣工,配套设施,高,2018/2/11 16:36,是,三个月更新,嘉兴市嘉善县,新闻
嘉南线,竣工,道路,高,2018/1/18 23:54,是,三个月更新,嘉兴市海盐县,新闻
海宁翁金线,完工,道路,高,2018/1/18 0:39,是,三个月更新,嘉兴市海宁市,新闻
平湖塘延伸拓浚,完工,道路,高,2018/1/4 15:01,是,三个月更新,嘉兴市平湖市,新闻
澉浦大桥,通车,桥梁,高,2017/12/29 14:06,是,三个月更新,嘉兴市海盐县,新闻
平申线航道嘉海公路桥,通车,桥梁,高,2017/12/26 16:33,是,三个月更新,嘉兴市,新闻
嘉南线,完工,道路,高,2017/12/8 15:57,是,三个月更新,嘉兴市海盐县,新闻
武袁公路,通车,道路,高,2017/12/5 14:53,是,三个月更新,嘉兴市,新闻
杭平申线航道嘉海公路桥,通车,桥梁,高,2017/11/30 14:21,是,三个月更新,嘉兴市,新闻
武袁公路（盐湖线至落许线段）,通车,道路,高,2017/11/27 8:44,是,三个月更新,嘉兴市海盐县,新闻
海宁市公交候车亭,完工,配套设施,高,2017/11/7 17:59,是,三个月更新,嘉兴市桐乡市,新闻
平湖市翁金公路,完工,道路,高,2017/11/6 23:41,是,三个月更新,嘉兴市平湖市,新闻
湖嘉申线航道一期,竣工,航道,低,2017/10/25 0:56,否,三个月更新,嘉兴市,新闻
沪杭高速公路嘉兴段,完工,道路,高,2017/8/30 9:04,是,三个月更新,嘉兴市,新闻
乍嘉苏线航道二项,竣工,配套设施,低,2017/7/3 10:14,否,三个月更新,嘉兴市平湖市,新闻
桐乡西双桥,完工,桥梁,高,2017/6/23 19:57,是,三个月更新,嘉兴市桐乡市,新闻
海盐县城乡干线公路港湾式停靠站,竣工,桥梁,高,2017/6/15 9:22,是,三个月更新,嘉兴市海盐县,新闻
嘉善农危桥,竣工,桥梁,高,2017/6/14 17:31,是,三个月更新,嘉兴市嘉善县,新闻
何家桥线内河航道,竣工,航道,高,2017/6/9 9:07,是,三个月更新,嘉兴市海盐县,新闻
乍嘉苏线航道王江泾段,完工,航道,低,2017/5/27 14:50,否,三个月更新,嘉兴市,新闻
沈荡大桥,通车,桥梁,高,2017/5/11 10:09,是,三个月更新,嘉兴市海盐县,新闻
乍嘉苏线船舶锚泊区,竣工,航道,高,2017/5/10 17:18,是,三个月更新,嘉兴市,新闻
嘉兴乍嘉苏线南湖区段航道,竣工,航道,高,2017/5/10 17:18,是,三个月更新,嘉兴市,新闻
杭平申线航道平湖子孙桥锚泊区,竣工,航道,高,2017/5/8 10:34,是,三个月更新,嘉兴市平湖市,新闻
平湖县道公路,完工,道路,低,2017/5/3 15:09,否,三个月更新,嘉兴市平湖市,新闻
海盐里洪塘大麻泾段,竣工,航道,高,2017/4/19 16:44,是,三个月更新,嘉兴市海盐县,新闻
海盐县公路段,竣工,道路,低,2017/4/10 8:58,否,三个月更新,嘉兴市海盐县,新闻
"S101,S202",竣工,道路,低,2017/3/23 14:22,否,三个月更新,嘉兴市平湖市,新闻
乌镇大道,通车,道路,高,2017/3/13 16:11,是,三个月更新,嘉兴市桐乡市,新闻
嘉善县食盐仓库码头,竣工,码头,高,2017/3/7 9:41,是,三个月更新,嘉兴市嘉善县,新闻
01省道理洪塘桥（右）,竣工,道路,高,2017/1/26 15:11,是,三个月更新,嘉兴市海盐县,新闻
海宁港区尖山码头,完工,码头,高,2017/1/20 11:28,是,三个月更新,嘉兴市海宁市,新闻
桐乡海事护航乌镇大道跨杭申线桥梁,竣工,桥梁,高,2017/1/13 15:13,是,三个月更新,嘉兴市桐乡市,新闻
海盐县公路,完工,道路,高,2017/1/6 11:05,是,三个月更新,嘉兴市海盐县,新闻
杭申线延寿桥至崇福市河西段,竣工,航道,低,2016/12/30 9:04,否,三个月更新,嘉兴市桐乡市,新闻
芦墟塘航道,竣工,航道,低,2016/12/29 11:14,否,三个月更新,嘉兴市嘉善县,新闻
嘉善县枫泾塘航道,竣工,航道,低,2016/12/16 13:50,否,三个月更新,嘉兴市嘉善县,新闻
嘉兴普通国省道,完工,道路,低,2016/12/16 9:28,否,三个月更新,嘉兴市,新闻
海盐桥梁,完工,桥梁,高,2016/11/23 9:58,是,三个月更新,嘉兴市海盐县,新闻
海盐年长港航道、海盐官堂线航道,竣工,航道,低,2016/10/31 14:05,否,三个月更新,嘉兴市海盐县,新闻
08省道海宁段,完工,道路,低,2016/10/26 14:51,否,三个月更新,嘉兴市海宁市,新闻
九场线西曹一号桥,完工,桥梁,高,2016/10/13 14:45,是,三个月更新,嘉兴市海盐县,新闻
乍嘉苏线嘉兴南湖区段,竣工,航道,低,2016/10/9 10:40,否,三个月更新,嘉兴市,新闻
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
