"ID","NAME","UUID","AREACODE","REAL_AREACODE","SZS","SZQX","SZZ","DZ","YZBM","LXDH","LXR","TSJDDH","GZSJ","WZ","JJ","GEOTYPE","GEO","EMAIL","LAYER_FILES_ID","i_id","status","bstype","create_date","creator_id","editor_id","edit_date","edit_memo","commit_date","committer_id","commit_memo","checker_id","check_date","check_result","check_result_memo","checker_editXY_date","editXY_userid","checker_editXY_memo","publisher_id","publish_date","publish_result","publish_result_memo","revoke_applicant_id","revoke_apply_date","revoke_apply_reason","revoke_checker_id","revoke_check_date","revoke_ck_result","revoke_ck_result_memo","revoke_publisher_id","revoke_pub_date","revoke_pub_result","revoke_pub_result_memo","update_applicant_id","update_apply_date","update_apply_reason","update_checker_id","update_check_date","update_ck_result","update_ck_result_memo","update_publisher_id","update_pub_date","update_pub_result","update_pub_result_memo","operation_date","operator_id","operation_result","operation_memo","filereport_id","first_submit_date","collector_id","reason","remark","identification","remark_id","remark_date","isreturn","isdel","field_1","field_2","field_3","deleter_id","delete_date","LX","LC","LXBM","TCSJ","JSDJ","ISBSWD"
"7240","虹桥北路","5f360fbe-c65c-4b9e-a95a-6aeb2b4356d9","330381003","330381003","温州市","瑞安市","锦湖街道","","325200","0577-65892003","","","","","","0","LINESTRING(120.633039772511 27.8019681572914, 120.632140059024 27.7982340194285, 120.632015503943 27.7961869910359)","","4fbfada080cf4d5d8947ce3b13c4435d","","3","2","2016/11/4 11:06:17","35023","","","","2016/11/4 11:06:45","35023","","35023","2016/11/4 11:16:41","不通过","道路位置标示错误","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016/11/4 11:16:54","35023","不通过","道路位置标示错误","","2016/11/4 11:06:44","","","","","-1","","","1","","","","35023","2016/11/4 11:16:54","专用公路","1","G104","2015年9月25日","二级",""
"7951","","853593ef-90fe-4747-b89a-f61654d92eb4","330381","330381","温州市","瑞安市","","","","","","","","","","0","","","8123fee0c7d3464eaa2749ec34696d2d","","0","2","2016/11/8 16:10:53","35531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016/11/8 16:10:53","35531","","","","","","","","","-1","","","0","","","","","","","","","","",""
"7952","","2460db0e-125f-47f8-b24d-981d1f46871d","330381","330381","温州市","瑞安市","","","","","","","","","","0","","","08505357cb114cb698d0866fdaca1274","","0","2","2016/11/8 16:19:33","35531","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2016/11/8 16:19:33","35531","","","","","","","","","-1","","","0","","","","","","","","","","",""
"9820","温州市洞头区大翁线","52fb325f-b84b-430a-92a1-c5511c5eebf1","330322101","330322101","温州市","洞头区","大门镇","","325700","15858868696","","","","","","0","LINESTRING(120.985823 28.013678, 120.993977 28.010502, 120.999727 28.006897, 121.009254 27.997627, 121.012559 27.995481, 121.016979 27.993207, 121.038297 27.985611, 121.039188 27.984892, 121.040765 27.984924, 121.04304 27.985311, 121.044853 27.986072, 121.047363 27.986341, 121.054487 27.990031, 121.057577 27.991576, 121.058736 27.991791, 121.060452 27.991834, 121.065216 27.982349, 121.065259 27.98089, 121.064787 27.976427)","","26dfc8df3e994c5aac41df22499715bc","","4","3","2016/11/18 14:30:04","24767","24767","2016/12/1 15:24:35","","2016/12/1 15:24:35","24767","","24767","2016/12/1 15:48:23","通过","","","","","56","2016/12/30 10:53:57","通过","","","","","","","","","","","","","","","","","","","","","","","","2016/12/30 10:53:57","56","通过","","","2016/12/1 15:23:20","","","","","-1","","","0","1","","","","","沥青混凝土","12.603","X809330322","2015","一级",""
"9821","温州市洞头区深大线","86c517b5-bdc7-4361-95ff-0a47ac02476e","330322","330322","温州市","洞头区","","","325700","15858868696","","","","","","0","MULTILINESTRING((121.11517 27.875919, 121.121349 27.876091), (121.107026 27.874911, 121.108818 27.867336, 121.114483 27.857208, 121.11901 27.852166, 121.122208 27.849827, 121.123796 27.848883, 121.131864 27.846243, 121.132894 27.845621, 121.136112 27.842746))","","63833d4111cb4717a8fe22a9a2c05f5c","","4","3","2016/11/18 14:30:04","24767","24767","2016/12/1 15:25:03","","2016/12/1 15:25:03","24767","","24767","2016/12/1 15:48:23","通过","","","","","56","2016/12/30 10:53:57","通过","","","","","","","","","","","","","","","","","","","","","","","","2016/12/30 10:53:57","56","通过","","","2016/12/1 15:22:41","","","","","-1","","","0","1","","","","","沥青混凝土","4.755","X810330322","2015","二级",""
"9907","华山-水深","0a692e43-9741-41fa-90bd-fe3bfb30e463","330327","330327","温州市","苍南县","","","325800；325802","0577-64767980","","","","www.cnglw.com","连接灵溪至龙港的一条快捷通道","0","LINESTRING(120.452106 27.533514, 120.50472 27.543154, 120.503932 27.555138)","cnxgld@163.com","db7e86ee0a0a4f48b41f950a1fbc2c92","","3","3","2016/11/23 09:01:18","37498","37498","2016/11/23 09:08:57","","2016/11/23 09:10:28","37498","","37498","2016/12/28 10:10:41","不通过","需按实际线路采集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017/1/3 19:27:23","37498","不通过","需按实际线路采集","","2016/11/23 09:10:27","","","","","-1","","","1","","","","37498","2017/1/3 19:27:23","乡道","6.771","Y528330327","2014年10月31日","二级",""
"9908","宫西-南茶寮","20f7a4b2-a839-4461-bb83-39e646a5564e","330327230","330327230","温州市","苍南县","苍南县所辖乡镇","","325804","0577-64767981","","","","www.cnglw.com","望里镇连接宫西和南茶寮的一条村道","0","LINESTRING(120.530609 27.478357, 120.5321 27.474774)","cnxgld@163.com","7380d351ed714ce09b3db09461392f60","","3","3","2016/11/23 09:01:18","37498","37498","2016/11/23 09:10:30","","2016/11/23 09:11:40","37498","","37498","2016/12/28 10:10:41","不通过","需按实际线路采集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017/1/3 19:27:23","37498","不通过","需按实际线路采集","","2016/11/23 09:11:39","","","","","-1","","","1","","","","37498","2017/1/3 19:27:23","村道","0.426","C525330327","2014年5月1日","四级",""
"9909","龙魁线-朱家垟","7a48f590-a661-4984-aab9-4ab3777e007f","330327117","330327117","温州市","苍南县","赤溪镇","","325807","0577-64767982","","","","www.cnglw.com","赤溪镇朱家垟自然村的一条通村公路","0","LINESTRING(120.541241 27.304748, 120.531811 27.307055)","cnxgld@163.com","025d846a8c724f0b80354ec983cc1a64","","3","3","2016/11/23 09:01:18","37498","37498","2016/11/23 09:18:06","","2016/11/23 09:19:13","37498","","37498","2016/12/28 10:10:41","不通过","需按实际线路采集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017/1/3 19:27:23","37498","不通过","需按实际线路采集","","2016/11/23 09:19:12","","","","","-1","","","1","","","","37498","2017/1/3 19:27:23","村道","2.049","C530330327","2014年10月1日","四级",""
"9910","霞峰-后岘","35029d2c-0571-443f-9620-4671bbc83ffa","330327118","330327118","温州市","苍南县","马站镇","","325809","0577-64767983","","","","www.cnglw.com","","0","LINESTRING(120.46284 27.259757, 120.460673 27.248046)","cnxgld@163.com","22016c5081fa4406a0565b65b99be734","","3","3","2016/11/23 09:01:18","37498","37498","2016/11/23 09:20:39","","2016/11/23 09:21:38","37498","","37498","2016/12/28 10:10:41","不通过","需按实际线路采集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017/1/3 19:27:23","37498","不通过","需按实际线路采集","","2016/11/23 09:21:37","","","","","-1","","","1","","","","37498","2017/1/3 19:27:23","村道","1.274","C531330327","2014年10月1日","四级",""
"9911","桥南线-墓庵","274e9a6b-9423-4c7d-b787-2630521f4165","330327113","330327113","温州市","苍南县","桥墩镇","","325806","0577-64767984","","","","www.cnglw.com","","0","LINESTRING(120.293244 27.477214, 120.285997 27.478309)","cnxgld@163.com","48a79aea3ca74708891773a7ea853487","","3","3","2016/11/23 09:01:18","37498","37498","2016/11/23 09:21:17","","2016/11/23 09:22:16","37498","","37498","2016/12/28 10:10:41","不通过","需按实际线路采集","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017/1/3 19:27:23","37498","不通过","需按实际线路采集","","2016/11/23 09:22:15","","","","","-1","","","1","","","","37498","2017/1/3 19:27:23","村道","1.979","C532330327","2014年10月1日","四级",""
